lead_id,user_id,product,stage,log_date,user_id.1,registration_date,login_date
3270227,2061681,Credit Card,Form - Page 2,2017-07-22 17:05,2221979,2017-07-18 20:35,2017-09-18 14:07
2931199,1893544,Credit Card,Form - Page 1,2017-06-19 9:50,1979150,2017-06-09 11:13,2017-09-07 10:35
2838536,1264014,Credit Card,Form Submitted,2017-07-09 1:48,2228838,2017-07-19 18:00,2017-11-24 10:23
2761975,833181,Personal Loan,Form Submitted,2017-06-07 0:22,2303371,2017-08-04 21:29,2017-09-21 17:22
3199912,1705350,Credit Card,Form - Page 1,2017-07-16 11:16,2480136,2017-08-28 21:08,2017-10-27 23:23
2966924,1908959,Personal Loan,Form - Page 2,2017-06-26 11:47,1680447,2017-06-07 10:57,2017-06-07 11:12
3163188,2005991,Auto Loan,Form - Page 1,2017-07-13 13:08,2775139,2017-09-26 21:27,2017-10-23 22:25
2776027,1806192,Home Loan,Form - Page 1,2017-06-08 15:36,2398808,2017-08-15 15:53,2017-09-16 12:18
3040370,1939346,Personal Loan,Applied,2017-07-30 16:25,1972177,2017-06-08 13:39,2017-08-29 16:02
2934560,1895087,Home Loan,Form - Page 2,2017-08-17 19:39,1979931,2017-06-09 12:11,2017-06-21 15:00
3142873,1849790,Credit Card,Form - Page 1,2017-07-11 20:22,2544953,2017-09-05 15:47,2017-10-06 15:25
3239931,2047525,Credit Card,Form Submitted,2017-07-20 1:00,2458948,2017-08-21 17:10,2017-08-22 13:42
2942152,1581387,Credit Card,Form - Page 2,2017-06-20 17:34,343544,2017-06-18 15:26,2017-07-11 12:24
3106305,940393,Credit Card,Form Submitted,2017-08-19 22:18,1851808,2017-05-12 18:40,2017-11-11 15:17
2964257,1753551,Personal Loan,Form - Page 2,2017-06-24 23:26,1930931,2017-06-03 13:29,2017-09-01 9:01
2950752,1283352,Credit Card,Form Submitted,2017-11-18 14:21,1950415,2017-06-06 16:17,2017-08-23 12:10
3265815,1623169,Auto Loan,Form - Page 2,2017-07-22 11:00,2167171,2017-07-11 18:35,2017-10-01 11:34
2733376,1781701,Credit Card,Form Submitted,2017-09-09 17:56,1786635,2017-05-05 15:18,2017-11-02 12:38
3013247,1870961,Personal Loan,Form - Page 1,2017-07-02 17:23,1857865,2017-05-13 16:58,2017-05-13 17:05
3270062,1557756,Credit Card,Form - Page 1,2017-07-22 16:54,2256716,2017-07-25 11:49,2017-07-25 12:25
3214062,1477885,Auto Loan,Form Submitted,2017-07-17 12:05,2380224,2017-08-12 22:41,2017-11-13 19:08
3011845,668752,Home Loan,Eligible,2017-07-02 15:41,1666662,2017-05-14 12:15,2017-10-24 15:28
3271983,1164217,Personal Loan,Eligible,2017-08-24 14:17,2659507,2017-09-15 10:00,2017-09-15 18:24
3188039,1565473,Personal Loan,Eligible,2017-11-10 20:17,2662360,2017-09-15 13:15,2017-11-27 21:15
2886443,1858350,Business Loan,Applied,2017-06-15 14:52,2136158,2017-07-08 11:25,2017-07-18 21:04
3021657,1925390,Credit Card,Applied,2017-07-03 14:11,1788824,2017-05-05 18:43,2017-11-27 20:50
2889662,1138104,Personal Loan,Form - Page 2,2017-08-19 13:02,2220436,2017-07-18 17:02,2017-10-01 11:04
3096659,1938116,Personal Loan,Form Submitted,2017-07-29 15:00,1797599,2017-05-06 20:16,2017-05-12 18:09
3171333,93826,Auto Loan,Form - Page 2,2017-10-23 18:14,2551587,2017-09-06 13:05,2017-12-05 9:10
2871706,1862044,Credit Card,Form - Page 2,2017-06-14 12:30,2255044,2017-07-24 20:31,2017-07-29 14:15
2770934,1368578,Auto Loan,Form - Page 1,2017-06-09 11:15,2224986,2017-07-19 12:18,2017-09-17 13:28
3265627,2059627,Personal Loan,Form Submitted,2017-08-15 12:41,2242747,2017-07-21 20:27,2017-07-27 19:02
2728752,852087,Personal Loan,Form Submitted,2017-06-04 14:52,2309669,2017-08-05 17:12,2017-09-08 11:38
3178489,1254127,Credit Card,Form Submitted,2017-08-23 11:20,2394444,2017-09-07 11:16,2017-09-13 0:01
3223818,2039751,Personal Loan,Form Submitted,2017-07-18 14:51,2307310,2017-08-05 13:49,2017-08-06 12:14
2915019,1604151,Credit Card,Applied,2017-06-17 16:31,2146280,2017-07-12 17:24,2017-10-10 10:23
2727289,1778972,Credit Card,Form - Page 2,2017-11-11 14:48,2056171,2017-06-21 14:17,2017-10-10 15:48
2903197,894184,Auto Loan,Form - Page 2,2017-06-16 16:37,2336568,2017-08-08 18:31,2017-11-06 9:12
3312248,653759,Home Loan,Form - Page 2,2017-07-29 11:48,1899507,2017-05-20 22:00,2017-09-18 18:21
2784288,1322497,Credit Card,Form Submitted,2017-07-01 7:47,1933133,2017-06-03 20:15,2017-09-03 10:29
3242383,1466767,Credit Card,Eligible,2017-07-20 11:19,2309345,2017-08-05 16:46,2017-08-27 13:05
2914919,1885088,Credit Card,Form - Page 2,2017-06-17 16:49,2088293,2017-07-01 16:24,2017-07-01 20:49
2962428,1907263,Personal Loan,Form Submitted,2017-06-24 16:05,1921541,2017-06-20 19:35,2017-08-02 0:40
2947053,1050672,Credit Card,Form Submitted,2017-10-19 17:46,1938862,2017-06-05 11:11,2017-12-02 10:24
2731447,1352829,Credit Card,Eligible,2017-06-04 17:30,2412313,2017-08-17 2:15,2017-11-11 4:33
3048404,1945028,Personal Loan,Form - Page 1,2017-07-06 3:34,1909032,2017-05-25 16:14,2017-11-21 9:39
2852694,567276,Business Loan,Applied,2017-06-12 19:00,2100325,2017-07-04 8:31,2017-07-04 8:32
3157470,2005405,Credit Card,Form - Page 1,2017-07-12 21:52,2659466,2017-09-15 9:59,2017-09-25 13:10
3187104,2021851,Personal Loan,Form Submitted,2017-07-15 12:05,2398485,2017-08-15 15:01,2017-09-26 15:52
2995951,1765171,Credit Card,Form - Page 1,2017-07-02 14:14,2550785,2017-09-06 12:28,2017-11-21 16:14
2958246,518603,Business Loan,Applied,2017-06-23 18:01,2549002,2017-09-06 2:39,2017-12-05 9:15
3302250,1601090,Personal Loan,Form - Page 1,2017-07-30 15:46,1948747,2017-06-06 13:44,2017-06-21 14:41
2758344,1796366,Credit Card,Form Submitted,2017-10-25 11:43,2699236,2017-09-18 14:09,2017-10-22 9:56
3005136,1923059,Credit Card,Form Submitted,2017-08-18 16:28,1781059,2017-05-04 18:19,2017-12-01 12:25
3050010,1945907,Credit Card,Eligible,2017-07-06 9:43,1872919,2017-05-15 18:32,2017-09-13 15:11
2954077,1368868,Credit Card,Form Submitted,2017-06-22 22:44,1933478,2017-06-03 22:01,2017-06-15 23:50
2782593,1809972,Credit Card,Form - Page 1,2017-06-08 22:29,2491190,2017-08-26 8:59,2017-09-01 0:25
3102857,1975406,Personal Loan,Form - Page 1,2017-07-08 18:43,1785207,2017-05-05 12:23,2017-06-04 12:26
3200004,920811,Credit Card,Form Submitted,2017-07-16 11:23,2490030,2017-08-25 21:30,2017-09-18 22:55
3297844,2072673,Home Loan,Form - Page 1,2017-07-27 0:22,1936409,2017-06-04 17:52,2017-07-11 9:29
2942774,1702167,Business Loan,Applied,2017-06-20 18:16,2706136,2017-09-18 23:33,2017-09-19 17:57
3084497,550514,Personal Loan,Form - Page 1,2017-07-07 18:13,2717980,2017-09-19 21:58,2017-09-19 22:37
3171783,877345,Personal Loan,Form - Page 1,2017-07-13 23:45,2515634,2017-09-04 19:21,2017-09-05 14:11
2810067,1826727,Credit Card,Eligible,2017-06-10 14:33,2454483,2017-08-21 11:20,2017-09-12 13:05
3297211,1754857,Personal Loan,Form Submitted,2017-07-26 21:03,2031137,2017-06-16 17:05,2017-09-13 9:12
2773271,1804879,Auto Loan,Form - Page 1,2017-06-08 13:30,2454717,2017-08-21 11:36,2017-08-21 21:21
2807568,1825201,Credit Card,Form - Page 2,2017-06-10 13:03,2277451,2017-08-01 15:09,2017-10-30 9:04
2930289,1890054,Personal Loan,Form Submitted,2017-06-24 13:33,2058230,2017-06-21 20:17,2017-08-17 13:54
3036812,1474217,Credit Card,Form - Page 1,2017-07-05 11:21,2683861,2017-09-16 23:57,2017-10-09 22:06
3123191,1534775,Credit Card,Form - Page 2,2017-07-10 9:04,512721,2017-09-25 13:05,2017-09-25 14:35
3058209,1028619,Credit Card,Form Submitted,2017-12-28 21:40,1769593,2017-05-02 15:44,2017-10-23 20:45
3287291,2068619,Credit Card,Form Submitted,2017-07-24 17:54,1955095,2017-06-07 1:02,2017-09-11 13:15
3050022,1492797,Personal Loan,Form - Page 2,2017-07-08 6:23,1878175,2017-05-16 14:31,2017-08-11 15:02
3214157,1410948,Personal Loan,Form - Page 2,2017-07-17 12:11,2475915,2017-08-23 13:27,2017-11-27 17:17
3008344,1511611,Personal Loan,Form - Page 1,2017-07-02 10:55,1917847,2017-05-31 15:05,2017-12-05 18:46
3137254,948511,Home Loan,Form - Page 1,2017-07-11 12:54,2688126,2017-09-17 12:34,2017-11-11 20:01
3321277,1698086,Personal Loan,Form - Page 1,2017-07-30 14:21,1811797,2017-05-09 8:47,2017-08-01 18:43
2890986,1467374,Credit Card,Eligible,2017-06-15 18:34,1092706,2017-07-11 15:35,2017-09-16 23:38
2937147,1830527,Credit Card,Form - Page 1,2017-06-19 20:43,2039438,2017-06-18 13:28,2017-09-26 10:36
3301416,1607681,Personal Loan,Eligible,2017-09-25 17:51,2759575,2017-09-24 22:49,2017-09-25 23:29
2994303,1461057,Credit Card,Eligible,2017-07-01 10:02,2052465,2017-06-20 17:35,2017-06-20 17:40
2984652,1756481,Personal Loan,Form - Page 1,2017-06-30 8:05,396982,2017-06-19 17:37,2017-09-17 9:20
3005005,1922994,Personal Loan,Eligible,2017-07-02 11:00,1777093,2017-05-04 6:29,2017-05-04 6:37
2796392,1818290,Auto Loan,Form - Page 1,2017-06-09 17:52,2425788,2017-08-18 12:38,2017-09-04 19:20
3301089,2075649,Credit Card,Form - Page 2,2017-07-27 15:55,1972991,2017-06-08 14:46,2017-06-08 15:39
3004493,1753132,Credit Card,Eligible,2017-07-01 19:33,2332358,2017-08-08 12:44,2017-09-19 17:50
